"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","returns the exact access_token from fixture","createAuthService — getToken","Sat Mar 28 14:49:42 UTC 2026","passed","Sat Mar 28 14:49:42 UTC 2026","","happy path","",""
"","1","stays FAILED when max retries exceeded","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","FAILED → REQUESTING (retry)","",""
"","202","rejects order with empty token as 401 or 422","Live Airalo Partner API","Sat Mar 28 14:52:03 UTC 2026","passed","Sat Mar 28 14:52:03 UTC 2026","","Order submission — POST /orders","",""
"","1","propagates 500 Internal Server Error from createOrder","runAiraloOrderFlow","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","order creation errors — HTTP status codes","",""
"","8","transitions to REQUESTING on valid authenticate","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","NO_TOKEN → REQUESTING","",""
"","415","rejects order with invalid package_id as 422","Live Airalo Partner API","Sat Mar 28 14:52:02 UTC 2026","passed","Sat Mar 28 14:52:03 UTC 2026","","Order submission — POST /orders","",""
"","1","RESET clears all context","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","context invariants","",""
"","0","sends Authorization: Bearer token header","createEsimService — get","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","URL construction","",""
"","3","each SIM in order has iccid and matching_id","order contract","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","0","sends client_secret in FormData","createAuthService — getToken","Sat Mar 28 14:49:42 UTC 2026","passed","Sat Mar 28 14:49:42 UTC 2026","","FormData request construction","",""
"","1","transitions to NOT_FOUND on 404","eSIM Fetch Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","FETCHING → NOT_FOUND","",""
"","","rejects invalid package_id with a parseable error response","live contract — POST /orders","Sat Mar 28 14:52:10 UTC 2026","skipped","","","","",""
"","1","FETCHING + NOT_FOUND → NOT_FOUND","eSIM Fetch Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","1","propagates 404 Not Found from fetchEsim","runAiraloOrderFlow","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","eSIM fetch errors — HTTP status codes","",""
"","3","transitions to CREATING with valid input","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","IDLE → CREATING","",""
"","1","RESOLVED + FETCH → RESOLVED","eSIM Fetch Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","1","UNRESOLVED + NOT_FOUND → UNRESOLVED","eSIM Fetch Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","2","propagates 401 Unauthorized from fetchEsim","runAiraloOrderFlow","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","eSIM fetch errors — HTTP status codes","",""
"","1","esim id is a positive number","esim contract","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","1","propagates ECONNRESET network error from createOrder","runAiraloOrderFlow","Sat Mar 28 14:49:41 UTC 2026","passed","Sat Mar 28 14:49:41 UTC 2026","","network-level errors (no HTTP response)","",""
"","3","AUTHENTICATED → RE_AUTH → AUTHENTICATED → ORDER_SUBMITTED → COMPLETE","Full Flow State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","Token expiry during flow","",""
"","1","ignores unrelated events","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","NO_TOKEN → REQUESTING","",""
"","19","rejects token response with missing data wrapper","token contract","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","0","transitions to AUTH_FAILED when token is empty","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","IDLE → CREATING","",""
"","1","VALIDATION_FAILED + SUBMIT_ORDER → VALIDATION_FAILED","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","1","UNRESOLVED → FETCHING → RESOLVED","eSIM Fetch Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","Full lifecycle","",""
"","2","fixture with all required fields still validates after structural changes","backward compatibility — order","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","1","order code is non-empty string","order contract","Sat Mar 28 14:49:43 UTC 2026","passed","Sat Mar 28 14:49:43 UTC 2026","","","",""
"","2096","completes the exercise workflow end-to-end","Live Airalo Partner API","Sat Mar 28 14:52:06 UTC 2026","passed","Sat Mar 28 14:52:08 UTC 2026","","Full flow — OAuth2 → order → 6 eSIMs","",""
"","0","CREATING + SUBMIT_ORDER → CREATING","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
"","243","rejects order with empty package_id as 422","Live Airalo Partner API","Sat Mar 28 14:52:04 UTC 2026","passed","Sat Mar 28 14:52:04 UTC 2026","","Order submission — POST /orders","",""
"","1","transitions to FAILED when clientSecret is empty","OAuth2 Token State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","NO_TOKEN → REQUESTING","",""
"","0","VALIDATION_FAILED + RESET → IDLE","Order Lifecycle State Machine","Sat Mar 28 14:49:37 UTC 2026","passed","Sat Mar 28 14:49:37 UTC 2026","","exhaustive state × event transition matrix","",""
